iter	Passed	Remaining
404	8828	12970
405	8848	12945
406	8869	12922
407	8888	12897
408	8908	12872
409	8929	12850
410	8951	12827
411	8985	12824
412	9009	12805
413	9031	12783
414	9051	12759
415	9072	12736
416	9092	12711
417	9114	12690
418	9133	12664
419	9153	12640
420	9173	12616
421	9192	12591
422	9213	12568
423	9234	12545
424	9255	12522
425	9280	12505
426	9304	12486
427	9330	12470
428	9349	12444
429	9369	12420
430	9389	12396
431	9411	12374
432	9431	12350
433	9450	12324
434	9470	12300
435	9496	12284
436	9518	12262
437	9537	12237
438	9558	12214
439	9579	12192
440	9598	12166
441	9621	12146
442	9643	12124
443	9662	12100
444	9683	12077
445	9709	12061
446	9735	12044
447	9758	12023
448	9777	11999
449	9796	11974
450	9818	11951
451	9837	11927
452	9858	11904
453	9877	11879
454	9898	11856
455	9917	11831
456	9937	11807
457	9966	11794
458	9993	11779
459	10018	11760
460	10036	11734
461	10059	11714
462	10081	11692
463	10101	11668
464	10123	11647
465	10144	11624
466	10163	11600
467	10184	11576
468	10205	11555
469	10226	11531
470	10246	11508
471	10267	11485
472	10289	11464
473	10310	11441
474	10330	11417
475	10351	11395
476	10372	11372
477	10393	11350
478	10414	11327
479	10433	11303
480	10454	11280
481	10475	11257
482	10494	11232
483	10513	11209
484	10532	11183
485	10555	11164
486	10577	11141
487	10596	11117
488	10620	11098
489	10640	11074
490	10662	11053
491	10687	11035
492	10715	11020
493	10741	11002
494	10763	10980
495	10788	10962
496	10814	10944
497	10837	10924
498	10863	10907
499	10891	10891
500	10917	10873
501	10946	10858
502	10978	10847
503	11011	10836
504	11034	10815
505	11057	10794
506	11086	10779
507	11111	10761
508	11137	10744
509	11161	10723
510	11186	10704
511	11214	10688
512	11235	10666
513	11259	10645
514	11283	10626
515	11308	10607
516	11335	10590
517	11359	10570
518	11383	10550
519	11405	10528
520	11427	10506
521	11448	10483
522	11471	10462
523	11493	10440
524	11514	10417
525	11533	10393
526	11555	10371
527	11577	10349
528	11603	10331
529	11628	10312
530	11650	10290
531	11671	10267
532	11696	10248
533	11722	10229
534	11746	10209
535	11766	10186
536	11787	10162
537	11808	10140
538	11829	10117
539	11849	10094
540	11869	10070
541	11892	10049
542	11913	10026
543	11937	10006
544	11966	9990
545	11994	9973
546	12015	9950
547	12035	9927
548	12058	9905
549	12080	9883
550	12101	9860
551	12133	9847
552	12154	9824
553	12182	9807
554	12216	9795
555	12239	9774
556	12261	9752
557	12283	9729
558	12307	9709
559	12330	9688
560	12355	9668
561	12377	9646
562	12401	9625
563	12425	9605
564	12454	9588
565	12476	9566
566	12503	9548
567	12526	9527
568	12553	9508
569	12576	9487
570	12600	9467
571	12621	9444
572	12647	9425
573	12671	9404
574	12699	9386
575	12721	9364
576	12742	9341
577	12763	9318
578	12785	9296
579	12807	9274
580	12829	9251
581	12852	9230
582	12875	9209
583	12897	9187
584	12922	9167
585	12954	9152
586	12983	9134
587	13008	9114
588	13032	9093
589	13055	9072
590	13076	9049
591	13100	9028
592	13125	9008
593	13150	8988
594	13179	8970
595	13201	8948
596	13223	8926
597	13247	8905
598	13268	8882
599	13289	8859
600	13312	8838
601	13334	8815
602	13360	8796
